Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201904,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,4,Andover town,1,1,211200,0,0,0,0,0,0,0,0,0,1,1,211200,0,0,0,0,0,0,0,0,0
201904,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,1,Avon town,5,5,1638990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,4,Berlin town,2,2,336719,0,0,0,0,0,0,0,0,0,2,2,336719,0,0,0,0,0,0,0,0,0
201904,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,3,Bethel town,18,18,5876667,0,0,0,0,0,0,0,0,0,13,13,4541520,0,0,0,0,0,0,0,0,0
201904,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,3,Bloomfield town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,4,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,4,Branford town,8,8,1985380,0,0,0,0,0,0,0,0,0,8,8,1985380,0,0,0,0,0,0,0,0,0
201904,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,3,Bridgeport,8,8,1193692,3,6,396200,0,0,0,0,0,0,7,7,1078000,2,4,275000,0,0,0,0,0,0
201904,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,4,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201904,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,4,Bristol,19,19,3109574,0,0,0,0,0,0,0,0,0,19,19,3109574,0,0,0,0,0,0,0,0,0
201904,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,4,Brookfield town,3,3,800000,0,0,0,0,0,0,0,0,0,3,3,800000,0,0,0,0,0,0,0,0,0
201904,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,4,Brooklyn town,6,6,1126000,0,0,0,0,0,0,0,0,0,6,6,1126000,0,0,0,0,0,0,0,0,0
201904,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,1,Burlington town,7,7,2365753,1,2,398420,0,0,0,0,0,0,2,2,551580,0,0,0,0,0,0,0,0,0
