Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202008,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,7,Andover town,4,4,939125,0,0,0,0,0,0,0,0,0,3,3,700000,0,0,0,0,0,0,0,0,0
202008,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,4,Avon town,5,5,1555272,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202008,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,4,Berlin town,12,12,2922158,0,0,0,0,0,0,1,6,1034100,5,5,1419272,0,0,0,0,0,0,1,6,1034100
202008,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,7,Bethel town,57,57,15708796,2,4,596544,0,0,0,0,0,0,50,50,13321972,2,4,596544,0,0,0,0,0,0
202008,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,7,Bloomfield town,10,10,1272188,1,2,200000,0,0,0,0,0,0,9,9,1125000,0,0,0,0,0,0,0,0,0
202008,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,8,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202008,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,8,Branford town,13,13,3899515,3,6,798800,0,0,0,0,0,0,13,13,3899515,3,6,798800,0,0,0,0,0,0
202008,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,3,Bridgeport,13,13,1794831,9,18,1427810,0,0,0,1,24,500000,2,2,255000,4,8,670000,0,0,0,1,24,500000
202008,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,8,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202008,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,8,Bristol,32,32,6256400,1,2,150000,0,0,0,1,20,1615000,32,32,6256400,1,2,150000,0,0,0,1,20,1615000
202008,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,8,Brookfield town,4,4,2000000,0,0,0,0,0,0,0,0,0,4,4,2000000,0,0,0,0,0,0,0,0,0
202008,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,8,Brooklyn town,12,12,2324000,1,2,180000,0,0,0,0,0,0,12,12,2324000,1,2,180000,0,0,0,0,0,0
