Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201804,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,4,Andover town,1,1,324000,0,0,0,0,0,0,0,0,0,1,1,324000,0,0,0,0,0,0,0,0,0
201804,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,4,Avon town,3,3,955885,0,0,0,0,0,0,0,0,0,3,3,955885,0,0,0,0,0,0,0,0,0
201804,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,3,Berlin town,2,2,487474,0,0,0,0,0,0,0,0,0,1,1,294070,0,0,0,0,0,0,0,0,0
201804,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,3,Bethel town,23,23,7673120,0,0,0,0,0,0,0,0,0,18,18,6337973,0,0,0,0,0,0,0,0,0
201804,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,4,Bloomfield town,1,1,168274,0,0,0,0,0,0,0,0,0,1,1,168274,0,0,0,0,0,0,0,0,0
201804,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,4,Bolton town,3,3,674000,0,0,0,0,0,0,0,0,0,3,3,674000,0,0,0,0,0,0,0,0,0
201804,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,4,Branford town,3,3,725950,0,0,0,0,0,0,0,0,0,3,3,725950,0,0,0,0,0,0,0,0,0
201804,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,2,Bridgeport,5,5,645059,1,2,150000,0,0,0,1,6,486322,3,3,410000,1,2,150000,0,0,0,0,0,0
201804,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,3,Bridgewater town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201804,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,4,Bristol,8,8,1330000,0,0,0,0,0,0,0,0,0,8,8,1330000,0,0,0,0,0,0,0,0,0
201804,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,4,Brookfield town,3,3,875000,0,0,0,0,0,0,0,0,0,3,3,875000,0,0,0,0,0,0,0,0,0
201804,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,4,Brooklyn town,3,3,446000,0,0,0,0,0,0,0,0,0,3,3,446000,0,0,0,0,0,0,0,0,0
201804,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,4,Burlington town,5,5,1684010,0,0,0,0,0,0,0,0,0,5,5,1684010,0,0,0,0,0,0,0,0,0
