Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201908,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,8,Andover town,6,6,1473875,0,0,0,0,0,0,0,0,0,6,6,1473875,0,0,0,0,0,0,0,0,0
201908,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,1,Avon town,10,10,3024612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,8,Berlin town,11,11,2321284,1,2,391000,0,0,0,1,6,1034100,11,11,2321284,1,2,391000,0,0,0,1,6,1034100
201908,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,7,Bethel town,36,36,11957057,0,0,0,0,0,0,0,0,0,31,31,10426100,0,0,0,0,0,0,0,0,0
201908,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,7,Bloomfield town,14,14,1995000,0,0,0,0,0,0,0,0,0,14,14,1995000,0,0,0,0,0,0,0,0,0
201908,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,8,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,7,Branford town,18,18,5514984,0,0,0,0,0,0,0,0,0,17,17,5238042,0,0,0,0,0,0,0,0,0
201908,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,7,Bridgeport,19,19,2804080,7,14,1075000,1,3,242352,0,0,0,16,16,2446000,7,14,1075000,1,3,242352,0,0,0
201908,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,7,Bridgewater town,1,1,365000,0,0,0,0,0,0,0,0,0,1,1,365000,0,0,0,0,0,0,0,0,0
201908,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,8,Bristol,33,33,5462574,0,0,0,0,0,0,0,0,0,33,33,5462574,0,0,0,0,0,0,0,0,0
201908,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,8,Brookfield town,12,12,3917000,0,0,0,0,0,0,0,0,0,12,12,3917000,0,0,0,0,0,0,0,0,0
201908,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,8,Brooklyn town,14,14,2422000,0,0,0,0,0,0,0,0,0,14,14,2422000,0,0,0,0,0,0,0,0,0
