Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201811,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,11,Andover town,5,5,973000,0,0,0,0,0,0,0,0,0,5,5,973000,0,0,0,0,0,0,0,0,0
201811,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,11,Avon town,12,12,3049630,0,0,0,0,0,0,0,0,0,12,12,3049630,0,0,0,0,0,0,0,0,0
201811,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,11,Berlin town,12,12,2798105,0,0,0,0,0,0,2,14,1906280,12,12,2798105,0,0,0,0,0,0,2,14,1906280
201811,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,11,Bethel town,47,47,14390998,0,0,0,0,0,0,0,0,0,47,47,14390998,0,0,0,0,0,0,0,0,0
201811,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,11,Bloomfield town,4,4,773274,0,0,0,0,0,0,0,0,0,4,4,773274,0,0,0,0,0,0,0,0,0
201811,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,11,Bolton town,6,6,1211000,0,0,0,0,0,0,0,0,0,6,6,1211000,0,0,0,0,0,0,0,0,0
201811,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,11,Branford town,18,18,5132778,1,2,425000,0,0,0,0,0,0,18,18,5132778,1,2,425000,0,0,0,0,0,0
201811,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,10,Bridgeport,23,23,2714692,2,4,300000,1,3,105000,1,18,2250000,22,22,2599000,2,4,300000,1,3,105000,1,18,2250000
201811,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,11,Bridgewater town,2,2,2235000,0,0,0,0,0,0,0,0,0,2,2,2235000,0,0,0,0,0,0,0,0,0
201811,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,11,Bristol,30,30,5174000,1,2,160000,2,6,650000,0,0,0,30,30,5174000,1,2,160000,2,6,650000,0,0,0
201811,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,11,Brookfield town,12,12,4108000,0,0,0,0,0,0,0,0,0,12,12,4108000,0,0,0,0,0,0,0,0,0
201811,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,11,Brooklyn town,18,18,3669000,0,0,0,0,0,0,0,0,0,18,18,3669000,0,0,0,0,0,0,0,0,0
