Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201906,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,6,Andover town,3,3,756200,0,0,0,0,0,0,0,0,0,3,3,756200,0,0,0,0,0,0,0,0,0
201906,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,1,Avon town,8,8,2537928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,5,Berlin town,6,6,1227719,0,0,0,0,0,0,0,0,0,5,5,994544,0,0,0,0,0,0,0,0,0
201906,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,5,Bethel town,23,23,7661486,0,0,0,0,0,0,0,0,0,19,19,6436720,0,0,0,0,0,0,0,0,0
201906,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,5,Bloomfield town,5,5,1020000,0,0,0,0,0,0,0,0,0,5,5,1020000,0,0,0,0,0,0,0,0,0
201906,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,6,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201906,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,6,Branford town,14,14,4183577,0,0,0,0,0,0,0,0,0,14,14,4183577,0,0,0,0,0,0,0,0,0
201906,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,3,Bridgeport,12,12,1667464,5,10,654900,0,0,0,1,5,625000,7,7,1078000,2,4,275000,0,0,0,0,0,0
201906,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,5,Bridgewater town,1,1,365000,0,0,0,0,0,0,0,0,0,1,1,365000,0,0,0,0,0,0,0,0,0
201906,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,6,Bristol,24,24,3839574,0,0,0,0,0,0,0,0,0,24,24,3839574,0,0,0,0,0,0,0,0,0
201906,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,6,Brookfield town,10,10,3325000,0,0,0,0,0,0,0,0,0,10,10,3325000,0,0,0,0,0,0,0,0,0
201906,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,6,Brooklyn town,9,9,1547000,0,0,0,0,0,0,0,0,0,9,9,1547000,0,0,0,0,0,0,0,0,0
201906,09,085000,003,    ,00000 ,10100 ,9301 ,278,25540, , ,06013      ,1,1,6,Burlington town,11,11,3484310,0,0,0,4,14,2541000,0,0,0,11,11,3484310,0,0,0,4,14,2541000,0,0,0
