Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201812,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,12,Andover town,5,5,973000,0,0,0,0,0,0,0,0,0,5,5,973000,0,0,0,0,0,0,0,0,0
201812,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,12,Avon town,13,13,3163450,0,0,0,0,0,0,0,0,0,13,13,3163450,0,0,0,0,0,0,0,0,0
201812,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,12,Berlin town,12,12,2798105,0,0,0,0,0,0,2,14,1906280,12,12,2798105,0,0,0,0,0,0,2,14,1906280
201812,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,11,Bethel town,51,51,15459116,0,0,0,0,0,0,0,0,0,47,47,14390998,0,0,0,0,0,0,0,0,0
201812,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,11,Bloomfield town,5,5,962018,0,0,0,0,0,0,0,0,0,4,4,773274,0,0,0,0,0,0,0,0,0
201812,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,12,Bolton town,6,6,1211000,0,0,0,0,0,0,0,0,0,6,6,1211000,0,0,0,0,0,0,0,0,0
201812,09,057000,009,    ,00000 ,07310 ,28026 ,408,35300, , ,06405      ,1,1,12,Branford town,20,20,5533703,1,2,425000,0,0,0,0,0,0,20,20,5533703,1,2,425000,0,0,0,0,0,0
201812,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,12,Bridgeport,25,25,2984000,4,8,550000,1,3,105000,1,18,2250000,25,25,2984000,4,8,550000,1,3,105000,1,18,2250000
201812,09,065000,005,    ,00000 ,08210 ,1727 ,999,99999, , ,06752      ,1,1,12,Bridgewater town,2,2,2235000,0,0,0,0,0,0,0,0,0,2,2,2235000,0,0,0,0,0,0,0,0,0
201812,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,12,Bristol,31,31,5324000,1,2,160000,2,6,650000,0,0,0,31,31,5324000,1,2,160000,2,6,650000,0,0,0
201812,09,077000,001,    ,00000 ,08980 ,16452 ,408,14860, , ,06804      ,1,1,12,Brookfield town,12,12,4108000,0,0,0,0,0,0,0,0,0,12,12,4108000,0,0,0,0,0,0,0,0,0
201812,09,081000,015,    ,00000 ,09190 ,8210 ,148,49340, , ,06234      ,1,1,12,Brooklyn town,19,19,3842000,0,0,0,0,0,0,0,0,0,19,19,3842000,0,0,0,0,0,0,0,0,0
