Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201910,09,181000,007,    ,00000 ,22490 ,12959 ,278,25540, , ,064241002  ,1,1,2,East Hampton town,12,12,2030063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,185000,003,    ,00000 ,22630 ,51252 ,278,25540, ,1,06108      ,1,1,10,East Hartford town,4,4,750000,0,0,0,0,0,0,0,0,0,4,4,750000,0,0,0,0,0,0,0,0,0
201910,09,193000,011,    ,00000 ,23400 ,19159 ,278,35980, , ,06357      ,1,1,10,East Lyme town,27,27,7124763,0,0,0,0,0,0,0,0,0,27,27,7124763,0,0,0,0,0,0,0,0,0
201910,09,197000,003,    ,00000 ,24800 ,11162 ,278,25540, , ,06016      ,1,1,10,East Windsor town,16,16,2430289,0,0,0,0,0,0,0,0,0,16,16,2430289,0,0,0,0,0,0,0,0,0
201910,09,205000,001,    ,00000 ,23890 ,7490 ,408,14860, , ,06612      ,1,1,10,Easton town,1,1,418690,0,0,0,0,0,0,0,0,0,1,1,418690,0,0,0,0,0,0,0,0,0
201910,09,209000,013,    ,00000 ,25360 ,15602 ,278,25540, , ,06029      ,1,1,0,Ellington town,32,32,6737569,0,0,0,0,0,0,13,70,8591100,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,213000,003,    ,00000 ,25990 ,44654 ,278,25540, , ,06082      ,1,1,1,Enfield town,3,3,555000,0,0,0,0,0,0,6,32,3497107,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,217000,007,    ,00000 ,26270 ,6683 ,278,25540, , ,064261167  ,1,1,9,Essex town,7,7,2390464,0,0,0,0,0,0,0,0,0,5,5,1505842,0,0,0,0,0,0,0,0,0
201910,09,221000,001,    ,00000 ,26620 ,59404 ,408,14860, , ,06824      ,1,1,10,Fairfield town,33,33,18855355,4,8,2657200,1,4,1126416,4,182,15108499,33,33,18855355,4,8,2657200,1,4,1126416,4,182,15108499
201910,09,225000,003,    ,00000 ,27600 ,25340 ,278,25540, , ,06032      ,1,1,10,Farmington town,47,47,9023858,0,0,0,1,4,453475,0,0,0,47,47,9023858,0,0,0,1,4,453475,0,0,0
201910,09,229000,007,0340,27810 ,57320 ,43 ,278,25540, , ,06475      ,1,1,10,Fenwick borough,1,1,875000,0,0,0,0,0,0,0,0,0,1,1,875000,0,0,0,0,0,0,0,0,0
201910,09,237000,003,    ,00000 ,31240 ,34427 ,278,25540, , ,06033      ,1,1,10,Glastonbury town,31,31,9727000,0,0,0,0,0,0,0,0,0,31,31,9727000,0,0,0,0,0,0,0,0,0
201910,09,245000,003,    ,00000 ,32640 ,11282 ,278,25540, , ,06035      ,1,1,9,Granby town,13,13,1897812,0,0,0,0,0,0,2,33,2084077,12,12,1758000,0,0,0,0,0,0,1,26,1642000
201910,09,249000,001,    ,00000 ,33620 ,61171 ,408,14860, , ,06830      ,1,1,3,Greenwich town,88,88,106619891,0,0,0,0,0,0,7,45,27500002,12,12,21300000,0,0,0,0,0,0,0,0,0
201910,09,253000,011,    ,00000 ,33900 ,8464 ,278,35980,2, ,06351      ,1,1,10,Griswold town,13,13,2867212,0,0,0,0,0,0,0,0,0,13,13,2867212,0,0,0,0,0,0,0,0,0
201910,09,273000,007,    ,00000 ,35230 ,8346 ,278,25540, , ,06438      ,1,1,10,Haddam town,5,5,1016000,0,0,0,0,0,0,0,0,0,5,5,1016000,0,0,0,0,0,0,0,0,0
201910,09,285000,003,0400,37000 ,37070 ,124775 ,278,25540,2,1,06103      ,1,1,0,Hartford,7,7,941591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,289000,003,    ,00000 ,37140 ,2114 ,278,25540, , ,06035      ,1,1,9,Hartland town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910,09,297000,013,    ,00000 ,37910 ,9686 ,278,25540, , ,06248      ,1,1,1,Hebron town,11,11,3409363,0,0,0,0,0,0,0,0,0,1,1,260374,0,0,0,0,0,0,0,0,0
