Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,09,237000,003,    ,00000 ,31240 ,34427 ,278,25540, , ,06033      ,1,1,3,Glastonbury town,6,6,982000,0,0,0,0,0,0,0,0,0
201706,09,245000,003,    ,00000 ,32640 ,11282 ,278,25540, , ,06035      ,1,1,3,Granby town,2,2,423000,0,0,0,0,0,0,0,0,0
201706,09,249000,001,    ,00000 ,33620 ,61171 ,408,14860, , ,06830      ,1,1,5,Greenwich town,15,15,15377805,0,0,0,0,0,0,0,0,0
201706,09,253000,011,    ,00000 ,33900 ,8464 ,278,35980,2, ,06351      ,1,1,1,Griswold town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,273000,007,    ,00000 ,35230 ,8346 ,278,25540, , ,06438      ,1,1,3,Haddam town,1,1,270000,0,0,0,0,0,0,0,0,0
201706,09,285000,003,0400,37000 ,37070 ,124775 ,278,25540,2,1,06103      ,1,1,5,Hartford,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,289000,003,    ,00000 ,37140 ,2114 ,278,25540, , ,06035      ,1,1,3,Hartland town,1,1,179000,0,0,0,0,0,0,0,0,0
201706,09,297000,013,    ,00000 ,37910 ,9686 ,278,25540, , ,06248      ,1,1,5,Hebron town,2,2,660101,0,0,0,0,0,0,0,0,0
201706,09,305000,005,    ,00000 ,40290 ,2979 ,999,99999, , ,06757      ,1,1,3,Kent town,1,1,250700,0,0,0,0,0,0,0,0,0
201706,09,313000,007,    ,00000 ,40710 ,6525 ,278,25540, , ,06419      ,1,1,3,Killingworth town,0,0,0,0,0,0,0,0,0,0,0,0
201706,09,317000,011,    ,00000 ,42390 ,7308 ,278,35980, , ,062491506  ,1,1,4,Lebanon town,2,2,535675,0,0,0,0,0,0,0,0,0
201706,09,337000,011,    ,00000 ,44210 ,2406 ,278,35980, , ,06371      ,1,1,4,Lyme town,1,1,267838,0,0,0,0,0,0,0,0,0
201706,09,345000,003,    ,00000 ,44700 ,58241 ,278,25540, , ,06040      ,1,1,1,Manchester town,1,1,121000,0,0,0,0,0,0,0,0,0
