Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201311,09,001000,013,    ,  ,01080 ,3303 ,278,25540, , ,06232      ,1,1,1,Andover town,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,005000,009,0010,01150 ,01220 ,19249 ,408,35300,2, ,064011855  ,1,1,5,Ansonia,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,009000,015,    ,  ,01430 ,4317 ,999,99999, , ,06278      ,1,1,3,Ashford town,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,013000,003,    ,  ,02060 ,18098 ,278,25540, , ,06001      ,1,1,3,Avon town,3,3,1183970,0,0,0,0,0,0,0,0,0
201311,09,029000,003,    ,  ,04300 ,19866 ,278,25540, , ,06037      ,1,1,5,Berlin town,6,6,703889,0,0,0,0,0,0,0,0,0
201311,09,037000,001,    ,  ,04720 ,18584 ,408,14860, , ,06801      ,1,1,1,Bethel town,6,6,1279000,0,0,0,0,0,0,0,0,0
201311,09,049000,013,    ,  ,06260 ,4980 ,278,25540, , ,06043      ,1,1,3,Bolton town,1,1,360000,0,0,0,0,0,0,0,0,0
201311,09,053000,011,    ,  ,06820 ,2627 ,999,35980, , ,06334      ,1,1,3,Bozrah town,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,061000,001,0070,08000 ,08070 ,144229 ,408,14860,2,1,06604      ,1,1,5,Bridgeport,1,1,110625,1,2,135714,0,0,0,0,0,0
201311,09,069000,003,0080,08420 ,08490 ,60477 ,278,25540,2, ,06010      ,1,1,3,Bristol,1,1,55000,0,0,0,0,0,0,1,5,350000
201311,09,081000,015,    ,  ,09190 ,8210 ,999,99999, , ,06234      ,1,1,1,Brooklyn town,1,1,155000,0,0,0,0,0,0,0,0,0
201311,09,085000,003,    ,  ,10100 ,9301 ,278,25540, , ,06013      ,1,1,1,Burlington town,2,2,546557,0,0,0,0,0,0,0,0,0
201311,09,089000,005,    ,  ,10940 ,1234 ,999,99999, , ,06031      ,1,1,1,Canaan town,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,093000,015,    ,  ,12130 ,5132 ,999,99999, , ,06331      ,1,1,3,Canterbury town,0,0,0,0,0,0,0,0,0,0,0,0
201311,09,097000,003,    ,  ,12270 ,10292 ,278,25540, , ,06022      ,1,1,1,Canton town,1,1,300000,0,0,0,0,0,0,0,0,0
